Branch,Weather Event,Named Storm,Date of Weather Event,Year,Appropriation,Line Item/SAG,Line Item/SAG title,Details of Expense,Installation,State,Cost,Latitude,Longitude
USA,Winter Storm,,45278,2023,OMA,132,FSRM,Exchange and Theater building damage; Electrical Pole Replacement ,Fort Hamilton,NY,600000,40.6084,-74.0288
USA,Hail,,45299,2024,OMA,132,FSRM,Roof Damage and Uprooted Trees,Fort Bliss,TX,16885200,31.8129,-106.421
USA,Winter Storm,,45299,2024,OMA,132,FSRM,Winter Storm,Fort Cavazos,TX,4261566,31.134,-97.78
USA,Winter Storm,,45299,2024,OMA,132,FSRM,Winter Storm,Fort Riley,KS,6106939,39.0872,-96.8136
USA,Wildfire,,45299,2024,OMA,132,FSRM,Fire Damage,Fort Liberty,NC,800000,35.1402,-79.006
USA,Winter Storm,,45302,2024,OMA,132,FSRM,"Yakima, Multiple buildings",Joint Base Lewis-McChord,WA,,47.0525,-122.4827
USA,Winter Storm,,45306,2024,OMA,132,FSRM,Real property facilities (35) affected from freezing temperature,Fort Leavenworth,KS,18797000,39.3597,-94.9225
USA,Winter Storm,,45306,2024,OMA,131,FSRM,Emergency clean up,Fort Leavenworth,KS,100000,39.3597,-94.9225
USA,High Surf,,45312,2024,RDT&E,DW7,QRPA,Roi-Namur Island,Kwajalein,MH,69771445,9.1898,167.4243
USA,Heavy Rain,,45326,2024,OMA,132,FSRM,Power outages,Presidio of Monterey,CA,,36.6138,-121.8223
USA,Thunderstorm Wind,,45384,2024,OMA,132,FSRM,"Roof and window damages, Numerous downed power lines, trees",Fort Leonard Wood,MO,,37.7386,-92.1407
USA,Strong Wind,,45397,2024,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Riley,KS,182700,39.0872,-96.8136
USA,Strong Wind,,45399,2024,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Leavenworth,KS,276300,39.3597,-94.9225
USA,Tornado,,45417,2024,OMA,132,FSRM,"Strong winds, 16 bldgs affected, roof repairs, gutters, downspouts, HVAC",Fort Cavazos,TX,9428618,31.134,-97.78
USA,Tornado,,45417,2024,OMA,121,Unk,"Strong winds, Damage to range structures",Fort Cavazos,TX,1031000,31.134,-97.78
USA,Hurricane (Typhoon),Debby,45506,2024,OMA,132,FSRM,Flooding,Fort Liberty,NC,,35.1402,-79.006
USA,Hurricane (Typhoon),Debby,45506,2024,OMA,132,FSRM,"Tank trails,ranges and bridges",Fort Stewart,GA,338300,31.8691,-81.6096
USA,Hail,,45505,2024,OMA,132,FSRM,Hanger hail damage ,Fort Carson,CO,82000000,38.738,-104.788
USA,Tropical Storm,Cyclone #8,45536,2024,OMA,132,FSRM,"Bldg 12 (OMA) - Flooding of 1st Floor to ceiling.  Repair/replace electrical system, HVAC components, Fire Alarm system, other internal facility components",Military Ocean Terminal Sunny Point,NC,3000000,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,OMA,132,FSRM,Emergency Brunswick Road - Repair road - road undermined for MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,1327763,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,OMA,132,FSRM,Emergency Perimeter Road and Security Fencing - FY24 repairs secure perimeter fence and fix 5 areas on road to allow vehical passage. TERMINAL SECURITY REPAIR,Military Ocean Terminal Sunny Point,NC,3750000,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,30000,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,OMA,132,FSRM,Emergency Center Wharf Entrance Repair - storm water undermined N entrance to CW.  Repair required for MISSION.  MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,868054,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,TWCF,Unk,932,Emergency PTC8 Mainline Rail Repairs - Permenent repairs to bring Mainline operational within 30 days to support MISSION:  MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,4015000,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,TWCF,Unk,932,Emergency PTC8 Tressel Rail Bridge inspections - to ensure there is no underwater dammage to bridges MISSION ESSENTIAL,Military Ocean Terminal Sunny Point,NC,90000,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,OMA,132,FSRM,"Compelte repairs of perimeter road, OMA Facility Repairs.  IGEs will be provided in FY25 and project repairs will then be seperated by infrastructure",Military Ocean Terminal Sunny Point,NC,25000000,33.998,-78.034
USA,Tropical Storm,Cyclone #8,45551,2024,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,15000000,33.998,-78.034
USA,Strong Wind,,44934,2023,OMA,131,Unk,"Emergency clean up, Overtime labor",Fort Bliss,TX,29670,31.8129,-106.421
USA,Strong Wind,,44934,2023,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Bliss,TX,15433410,31.8129,-106.421
USA,Hurricane (Typhoon),Helene,45561,2024,OMA,121,Unk,"Labor,Travel, OT",Fort Eisenhower,GA,10000,33.4166,-82.1637
USA,Hurricane (Typhoon),Helene,45561,2024,OMA,131,Unk,"Emergency Portable Latrines, Loabor, Travel OT, Tree Removal, Debris Clean up due to no water/power",Fort Eisenhower,GA,36978800,33.4166,-82.1637
USA,Hurricane (Typhoon),Helene,45561,2024,OMA,132,FSRM,Cabin Repair Legion Landing,Fort Eisenhower,GA,15000,33.4166,-82.1637
USA,Hurricane (Typhoon),Helene,45561,2024,OMA,132,FSRM,Facility and Infrastructure Damage still under assessment,Fort Eisenhower,GA,36500000,33.4166,-82.1637
USA,Hurricane (Typhoon),Helene,45562,2024,OMA,131,Unk,Repair Roof & Gutters - Relocatable facilities,Fort Stewart,GA,46400,31.8691,-81.6096
USA,Hurricane (Typhoon),Helene,45562,2024,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,1250000,31.8691,-81.6096
USA,Hurricane (Typhoon),Helene,45562,2024,OMA,131,Unk,Replace tower Morgans Bridge,Fort Stewart,GA,1250000,31.8691,-81.6096
USA,Hurricane (Typhoon),Helene,45562,2024,OMA,132,FSRM,"Repair roofs, siding, fencing, facsia and multiple DMOs",Fort Stewart,GA,8356200,31.8691,-81.6096
